Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,086338,2017,06,23,8.2
IDCJAC0016,086338,2017,06,24,7.3
IDCJAC0016,086338,2017,06,25,5.3
IDCJAC0016,086338,2017,06,26,7.8
IDCJAC0016,086338,2017,06,27,4.4
IDCJAC0016,086338,2017,06,28,5.4
IDCJAC0016,086338,2017,06,29,5.0
IDCJAC0016,086338,2017,06,30,8.4
IDCJAC0016,086338,2017,07,01,9.3
IDCJAC0016,086338,2017,07,02,9.2
IDCJAC0016,086338,2017,07,03,3.9
IDCJAC0016,086338,2017,07,04,6.4
IDCJAC0016,086338,2017,07,05,6.5
IDCJAC0016,086338,2017,07,06,8.7
IDCJAC0016,086338,2017,07,07,9.4
IDCJAC0016,086338,2017,07,08,5.1
IDCJAC0016,086338,2017,07,09,7.3
IDCJAC0016,086338,2017,07,10,5.7
IDCJAC0016,086338,2017,07,11,9.7
IDCJAC0016,086338,2017,07,12,9.8
IDCJAC0016,086338,2017,07,13,5.5
IDCJAC0016,086338,2017,07,14,8.6
IDCJAC0016,086338,2017,07,15,9.4
IDCJAC0016,086338,2017,07,16,7.8
IDCJAC0016,086338,2017,07,17,6.3
IDCJAC0016,086338,2017,07,18,5.8
IDCJAC0016,086338,2017,07,19,7.7
IDCJAC0016,086338,2017,07,20,5.9
IDCJAC0016,086338,2017,07,21,10.3
IDCJAC0016,086338,2017,07,22,7.0
IDCJAC0016,086338,2017,07,23,5.4
IDCJAC0016,086338,2017,07,24,8.3
IDCJAC0016,086338,2017,07,25,9.0
IDCJAC0016,086338,2017,07,26,8.7
IDCJAC0016,086338,2017,07,27,8.7
IDCJAC0016,086338,2017,07,28,9.8
IDCJAC0016,086338,2017,07,29,10.1
IDCJAC0016,086338,2017,07,30,8.3
IDCJAC0016,086338,2017,07,31,11.5
IDCJAC0016,086338,2017,08,01,11.5
IDCJAC0016,086338,2017,08,02,7.5
IDCJAC0016,086338,2017,08,03,4.4
IDCJAC0016,086338,2017,08,04,7.2
IDCJAC0016,086338,2017,08,05,11.7
IDCJAC0016,086338,2017,08,06,8.2
IDCJAC0016,086338,2017,08,07,7.3
IDCJAC0016,086338,2017,08,08,7.5
IDCJAC0016,086338,2017,08,09,11.5
IDCJAC0016,086338,2017,08,10,8.4
IDCJAC0016,086338,2017,08,11,9.3
IDCJAC0016,086338,2017,08,12,9.9
IDCJAC0016,086338,2017,08,13,11.1
IDCJAC0016,086338,2017,08,14,12.6
IDCJAC0016,086338,2017,08,15,3.2
IDCJAC0016,086338,2017,08,16,10.9
IDCJAC0016,086338,2017,08,17,9.1
IDCJAC0016,086338,2017,08,18,9.4
IDCJAC0016,086338,2017,08,19,11.6
IDCJAC0016,086338,2017,08,20,13.9
IDCJAC0016,086338,2017,08,21,7.9
IDCJAC0016,086338,2017,08,22,11.1
IDCJAC0016,086338,2017,08,23,9.7
IDCJAC0016,086338,2017,08,24,13.0
IDCJAC0016,086338,2017,08,25,13.3
IDCJAC0016,086338,2017,08,26,8.5
IDCJAC0016,086338,2017,08,27,11.8
IDCJAC0016,086338,2017,08,28,14.6
IDCJAC0016,086338,2017,08,29,9.1
IDCJAC0016,086338,2017,08,30,12.3
IDCJAC0016,086338,2017,08,31,15.9
IDCJAC0016,086338,2017,09,01,14.4
IDCJAC0016,086338,2017,09,02,6.3
IDCJAC0016,086338,2017,09,03,6.3
IDCJAC0016,086338,2017,09,04,13.4
IDCJAC0016,086338,2017,09,05,11.0
IDCJAC0016,086338,2017,09,06,11.0
IDCJAC0016,086338,2017,09,07,9.5
IDCJAC0016,086338,2017,09,08,13.1
IDCJAC0016,086338,2017,09,09,15.9
IDCJAC0016,086338,2017,09,10,12.3
IDCJAC0016,086338,2017,09,11,7.0
IDCJAC0016,086338,2017,09,12,3.5
IDCJAC0016,086338,2017,09,13,8.2
IDCJAC0016,086338,2017,09,14,10.8
IDCJAC0016,086338,2017,09,15,7.0
IDCJAC0016,086338,2017,09,16,16.7
IDCJAC0016,086338,2017,09,17,19.0
IDCJAC0016,086338,2017,09,18,15.7
IDCJAC0016,086338,2017,09,19,16.6
IDCJAC0016,086338,2017,09,20,17.3
IDCJAC0016,086338,2017,09,21,13.0
IDCJAC0016,086338,2017,09,22,15.6
IDCJAC0016,086338,2017,09,23,17.3
IDCJAC0016,086338,2017,09,24,12.0
IDCJAC0016,086338,2017,09,25,10.9
IDCJAC0016,086338,2017,09,26,20.4
IDCJAC0016,086338,2017,09,27,11.7
IDCJAC0016,086338,2017,09,28,12.8
IDCJAC0016,086338,2017,09,29,14.5
IDCJAC0016,086338,2017,09,30,16.1
IDCJAC0016,086338,2017,10,01,9.2
IDCJAC0016,086338,2017,10,02,16.4
IDCJAC0016,086338,2017,10,03,21.8
IDCJAC0016,086338,2017,10,04,21.6
IDCJAC0016,086338,2017,10,05,10.4
IDCJAC0016,086338,2017,10,06,16.8
IDCJAC0016,086338,2017,10,07,17.3
IDCJAC0016,086338,2017,10,08,19.5
IDCJAC0016,086338,2017,10,09,16.7
IDCJAC0016,086338,2017,10,10,23.6
IDCJAC0016,086338,2017,10,11,7.5
IDCJAC0016,086338,2017,10,12,15.6
IDCJAC0016,086338,2017,10,13,12.5
IDCJAC0016,086338,2017,10,14,23.6
IDCJAC0016,086338,2017,10,15,24.5
IDCJAC0016,086338,2017,10,16,23.8
IDCJAC0016,086338,2017,10,17,24.9
IDCJAC0016,086338,2017,10,18,25.1
IDCJAC0016,086338,2017,10,19,9.8
IDCJAC0016,086338,2017,10,20,24.0
IDCJAC0016,086338,2017,10,21,12.8
IDCJAC0016,086338,2017,10,22,13.0
IDCJAC0016,086338,2017,10,23,21.8
IDCJAC0016,086338,2017,10,24,18.7
IDCJAC0016,086338,2017,10,25,12.5
IDCJAC0016,086338,2017,10,26,12.2
IDCJAC0016,086338,2017,10,27,26.1
IDCJAC0016,086338,2017,10,28,16.8
IDCJAC0016,086338,2017,10,29,27.1
IDCJAC0016,086338,2017,10,30,17.0
IDCJAC0016,086338,2017,10,31,24.8
IDCJAC0016,086338,2017,11,01,14.2
IDCJAC0016,086338,2017,11,02,17.0
IDCJAC0016,086338,2017,11,03,20.5
IDCJAC0016,086338,2017,11,04,24.6
IDCJAC0016,086338,2017,11,05,24.1
IDCJAC0016,086338,2017,11,06,18.9
IDCJAC0016,086338,2017,11,07,18.8
IDCJAC0016,086338,2017,11,08,25.4
IDCJAC0016,086338,2017,11,09,28.8
IDCJAC0016,086338,2017,11,10,23.7
IDCJAC0016,086338,2017,11,11,28.8
IDCJAC0016,086338,2017,11,12,25.0
IDCJAC0016,086338,2017,11,13,29.5
IDCJAC0016,086338,2017,11,14,29.5
IDCJAC0016,086338,2017,11,15,16.9
IDCJAC0016,086338,2017,11,16,4.8
IDCJAC0016,086338,2017,11,17,22.9
IDCJAC0016,086338,2017,11,18,20.1
IDCJAC0016,086338,2017,11,19,27.5
IDCJAC0016,086338,2017,11,20,28.6
IDCJAC0016,086338,2017,11,21,29.5
IDCJAC0016,086338,2017,11,22,30.6
IDCJAC0016,086338,2017,11,23,18.9
IDCJAC0016,086338,2017,11,24,13.8
IDCJAC0016,086338,2017,11,25,17.0
IDCJAC0016,086338,2017,11,26,
IDCJAC0016,086338,2017,11,27,20.5
IDCJAC0016,086338,2017,11,28,31.1
IDCJAC0016,086338,2017,11,29,28.3
IDCJAC0016,086338,2017,11,30,23.1
IDCJAC0016,086338,2017,12,01,1.6
IDCJAC0016,086338,2017,12,02,0.7
IDCJAC0016,086338,2017,12,03,14.4
IDCJAC0016,086338,2017,12,04,7.9
IDCJAC0016,086338,2017,12,05,22.9
IDCJAC0016,086338,2017,12,06,23.6
IDCJAC0016,086338,2017,12,07,19.8
IDCJAC0016,086338,2017,12,08,28.5
IDCJAC0016,086338,2017,12,09,19.2
IDCJAC0016,086338,2017,12,10,31.4
IDCJAC0016,086338,2017,12,11,26.3
IDCJAC0016,086338,2017,12,12,31.3
IDCJAC0016,086338,2017,12,13,32.0
IDCJAC0016,086338,2017,12,14,21.7
IDCJAC0016,086338,2017,12,15,32.1
IDCJAC0016,086338,2017,12,16,31.0
IDCJAC0016,086338,2017,12,17,30.5
IDCJAC0016,086338,2017,12,18,22.1
IDCJAC0016,086338,2017,12,19,12.1
IDCJAC0016,086338,2017,12,20,19.0
IDCJAC0016,086338,2017,12,21,31.9
IDCJAC0016,086338,2017,12,22,26.6
IDCJAC0016,086338,2017,12,23,21.2
IDCJAC0016,086338,2017,12,24,25.7
IDCJAC0016,086338,2017,12,25,29.0
IDCJAC0016,086338,2017,12,26,31.9
IDCJAC0016,086338,2017,12,27,30.6
IDCJAC0016,086338,2017,12,28,13.5
IDCJAC0016,086338,2017,12,29,9.3
IDCJAC0016,086338,2017,12,30,13.6
IDCJAC0016,086338,2017,12,31,31.7
