Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2017,06,22,14.1,1,Y
IDCJAC0010,086338,2017,06,23,14.9,1,Y
IDCJAC0010,086338,2017,06,24,12.3,1,Y
IDCJAC0010,086338,2017,06,25,14.3,1,Y
IDCJAC0010,086338,2017,06,26,12.6,1,Y
IDCJAC0010,086338,2017,06,27,12.1,1,Y
IDCJAC0010,086338,2017,06,28,14.1,1,Y
IDCJAC0010,086338,2017,06,29,13.7,1,Y
IDCJAC0010,086338,2017,06,30,12.3,1,Y
IDCJAC0010,086338,2017,07,01,12.7,1,N
IDCJAC0010,086338,2017,07,02,14.3,1,N
IDCJAC0010,086338,2017,07,03,13.9,1,N
IDCJAC0010,086338,2017,07,04,16.2,1,Y
IDCJAC0010,086338,2017,07,05,15.8,1,N
IDCJAC0010,086338,2017,07,06,15.0,1,N
IDCJAC0010,086338,2017,07,07,14.2,1,N
IDCJAC0010,086338,2017,07,08,13.5,1,N
IDCJAC0010,086338,2017,07,09,14.6,1,N
IDCJAC0010,086338,2017,07,10,16.0,1,N
IDCJAC0010,086338,2017,07,11,14.3,1,N
IDCJAC0010,086338,2017,07,12,15.1,1,N
IDCJAC0010,086338,2017,07,13,13.3,1,N
IDCJAC0010,086338,2017,07,14,15.9,1,N
IDCJAC0010,086338,2017,07,15,12.0,1,N
IDCJAC0010,086338,2017,07,16,12.5,1,N
IDCJAC0010,086338,2017,07,17,15.3,1,N
IDCJAC0010,086338,2017,07,18,14.5,1,N
IDCJAC0010,086338,2017,07,19,13.2,1,N
IDCJAC0010,086338,2017,07,20,10.7,1,N
IDCJAC0010,086338,2017,07,21,13.8,1,N
IDCJAC0010,086338,2017,07,22,12.4,1,N
IDCJAC0010,086338,2017,07,23,14.1,1,N
IDCJAC0010,086338,2017,07,24,16.1,1,N
IDCJAC0010,086338,2017,07,25,17.2,1,N
IDCJAC0010,086338,2017,07,26,15.0,1,N
IDCJAC0010,086338,2017,07,27,14.2,1,N
IDCJAC0010,086338,2017,07,28,14.3,1,N
IDCJAC0010,086338,2017,07,29,17.9,1,N
IDCJAC0010,086338,2017,07,30,18.1,1,N
IDCJAC0010,086338,2017,07,31,14.8,1,N
IDCJAC0010,086338,2017,08,01,15.5,1,Y
IDCJAC0010,086338,2017,08,02,12.9,1,Y
IDCJAC0010,086338,2017,08,03,9.0,1,Y
IDCJAC0010,086338,2017,08,04,12.1,1,Y
IDCJAC0010,086338,2017,08,05,14.2,1,Y
IDCJAC0010,086338,2017,08,06,13.0,1,Y
IDCJAC0010,086338,2017,08,07,12.3,1,Y
IDCJAC0010,086338,2017,08,08,15.0,1,Y
IDCJAC0010,086338,2017,08,09,16.8,1,Y
IDCJAC0010,086338,2017,08,10,18.8,1,Y
IDCJAC0010,086338,2017,08,11,16.4,1,Y
IDCJAC0010,086338,2017,08,12,17.9,1,Y
IDCJAC0010,086338,2017,08,13,18.7,1,Y
IDCJAC0010,086338,2017,08,14,20.1,1,Y
IDCJAC0010,086338,2017,08,15,17.5,1,Y
IDCJAC0010,086338,2017,08,16,18.1,1,Y
IDCJAC0010,086338,2017,08,17,15.6,1,Y
IDCJAC0010,086338,2017,08,18,12.2,1,Y
IDCJAC0010,086338,2017,08,19,11.8,1,Y
IDCJAC0010,086338,2017,08,20,13.3,1,Y
IDCJAC0010,086338,2017,08,21,12.7,1,Y
IDCJAC0010,086338,2017,08,22,16.8,1,Y
IDCJAC0010,086338,2017,08,23,18.1,1,Y
IDCJAC0010,086338,2017,08,24,13.3,1,Y
IDCJAC0010,086338,2017,08,25,15.0,1,Y
IDCJAC0010,086338,2017,08,26,15.3,1,Y
IDCJAC0010,086338,2017,08,27,10.7,1,Y
IDCJAC0010,086338,2017,08,28,11.8,1,Y
IDCJAC0010,086338,2017,08,29,12.9,1,Y
IDCJAC0010,086338,2017,08,30,13.8,1,Y
IDCJAC0010,086338,2017,08,31,16.7,1,Y
IDCJAC0010,086338,2017,09,01,17.0,1,Y
IDCJAC0010,086338,2017,09,02,18.4,1,Y
IDCJAC0010,086338,2017,09,03,17.2,1,Y
IDCJAC0010,086338,2017,09,04,13.7,1,Y
IDCJAC0010,086338,2017,09,05,13.3,1,Y
IDCJAC0010,086338,2017,09,06,15.1,1,Y
IDCJAC0010,086338,2017,09,07,15.2,1,Y
IDCJAC0010,086338,2017,09,08,13.5,1,Y
IDCJAC0010,086338,2017,09,09,14.9,1,Y
IDCJAC0010,086338,2017,09,10,16.1,1,Y
IDCJAC0010,086338,2017,09,11,18.1,1,Y
IDCJAC0010,086338,2017,09,12,19.9,1,Y
IDCJAC0010,086338,2017,09,13,16.4,1,Y
